height,volume
0.0,0.0
0.25,156385.92073897
0.5,358272.66717851
0.75,605580.34138781
1.0,867499.23563995
1.25,1145331.6215167
1.5,1457069.8189302
1.75,1949816.8568665
2.0,2740881.422437
2.25,3999432.8641902
2.5,5822230.6862144
2.75,8142938.2559416
3.0,11037590.017043
3.5,18252466.27704
4.0,27149766.449968
4.5,37835437.556481
5.0,49991434.31351
5.5,63362492.598829
6.0,77891630.299006
6.5,93487976.568723
7.0,109919104.95312
