height,volume
0.0,0.0
0.25,16094.314814887
0.5,43122.431422108
0.75,77799.272506983
1.0,107758.53821465
1.25,148112.56300798
1.5,204230.31623026
1.75,325059.76551118
2.0,554219.79766999
2.25,1209517.8428494
2.5,2481127.2968743
2.75,4494555.1189509
3.0,7054244.218214
3.5,13389928.619121
4.0,21116608.76199
4.5,29915673.407575
5.0,39715702.472479
5.5,50469610.687523
6.0,62329223.147245
6.5,75361307.457908
7.0,89237947.411329
