Height,Year
1.9619562232505319,2021.0
2.1093750970248406,2036.0
1.906792938360955,2057.0
2.107105056855778,2058.0
1.9188508683241334,2060.0
2.206309636467644,2061.0
1.9106365751392431,2061.0
1.973068404599315,2065.0
2.145741929279072,2066.0
1.920267867782545,2067.0
1.9141103412214084,2071.0
2.102173393589365,2071.0
2.1239462172318833,2072.0
2.0980401067768044,2072.0
2.0556179280143843,2073.0
2.230367403482226,2073.0
2.2308436049888227,2073.0
2.0634902182516783,2074.0
2.1422394653373966,2075.0
1.960269830456278,2075.0
1.952779501860006,2075.0
2.18564602822436,2079.0
1.9738802604803505,2079.0
2.0509663204423925,2079.0
2.0996430295279134,2080.0
2.2799683930557255,2080.0
2.018776617976203,2081.0
2.2032384886458116,2081.0
2.054240263915008,2082.0
2.0673835223539028,2083.0
2.596556136044857,2085.0
2.0198517397556595,2086.0
2.6679694231497533,2087.0
2.085856259304334,2088.0
1.9219592215078318,2088.0
2.033864624869091,2089.0
1.9979910893552681,2089.0
1.9062897916099657,2089.0
2.1295238483904564,2092.0
2.0203930567771353,2092.0
2.5129881762194817,2094.0
2.1634350290860813,2095.0
2.2236290785837536,2095.0
1.9324364267021696,2096.0
2.1484077591353308,2097.0
1.9083853073485861,2097.0
1.9743987091182422,2098.0
2.127770756583031,2098.0
1.9644837284552243,2099.0
