height,volume
0.0,0.0
0.25,332.40963428633
0.5,648.75925060367
0.75,1134.6672299163
1.0,1640.9536111343
1.25,2320.0670253817
1.5,3138.2157062955
1.75,7131.6146208171
2.0,25294.30069869
2.25,87491.253182876
2.5,245058.99572786
2.75,492015.10720406
3.0,864167.27040919
3.5,1768900.7932391
4.0,2773538.7528187
4.5,3873216.9642096
5.0,5033354.7159238
5.5,6240896.9748538
6.0,7492629.5140681
6.5,8775562.1348003
7.0,10192369.470301
