height,volume
0.0,0.0
0.25,22325.304342777
0.5,45086.576801855
0.75,68265.936431079
1.0,92872.430241699
1.25,118855.51295936
1.5,153730.61121527
1.75,196960.23953085
2.0,261081.91300775
2.25,478095.1259154
2.5,786932.77116589
2.75,1180874.3530723
3.0,1637860.9470436
3.5,2791985.7477705
4.0,4183282.6582755
4.5,5769370.967663
5.0,7656724.109108
5.5,10018800.509649
6.0,12518214.655049
6.5,15132771.829806
7.0,18082366.419212
