height,volume
0.0,0.0
0.25,53339.441543258
0.5,108934.87155413
0.75,199225.2851018
1.0,297923.27491416
1.25,399050.82328895
1.5,510933.60376795
1.75,646138.86693613
2.0,928039.25662415
2.25,1658206.1582891
2.5,3192576.2655882
2.75,5411001.7790076
3.0,8298832.5014075
3.5,16286016.531707
4.0,26207922.525288
4.5,37832773.049061
5.0,51513874.515195
5.5,67629556.949296
6.0,85898837.826298
6.5,105678069.70781
7.0,127461625.14903
