height,volume
0.0,0.0
0.25,48401.251968759
0.5,98698.862433927
0.75,154214.17859103
1.0,214076.91972454
1.25,276010.23274446
1.5,348696.99702989
1.75,443203.75710891
2.0,665082.17983953
2.25,1290423.1512976
2.5,2304848.8353271
2.75,3668924.2537265
3.0,5427845.228623
3.5,9787403.275354
4.0,15053340.686958
4.5,20960878.908915
5.0,27507994.610063
5.5,35089663.802802
6.0,43436839.134732
6.5,52414271.910344
7.0,62472862.9322
