height,volume
0.0,0.0
0.25,3301.9553496358
0.5,8125.148577355
0.75,13609.306705164
1.0,18436.719926249
1.25,24477.013683626
1.5,34934.855446152
1.75,50525.209215158
2.0,83250.043364473
2.25,136206.32134337
2.5,237544.10340029
2.75,377485.00978581
3.0,552490.13255527
3.5,1042304.9170917
4.0,1644229.7178497
4.5,2291310.0227835
5.0,2987432.8505247
5.5,3728033.8175452
6.0,4573905.0110661
6.5,5507122.0920962
7.0,6497518.4961208
