Rowid_1,ROWID,FID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,ID,DIV18,MEAN2
1,1,0,29,6525,1.873165488,2.116328001,0.243162513,2.020041577,0.067210021,58.58120573,0,6,2.020041577
2,2,1,26,5850,0,3.590848923,3.590848923,0.408465848,0.670333682,10.62011205,1,17,1.9
3,3,2,27,6075,0.330707967,2.661648989,2.330941021,1.025187876,0.983748187,27.68007267,2,17,1.9
4,4,3,29,6525,2.362978935,3.205818653,0.842839718,2.585623083,0.210992643,74.98306942,3,17,2.585623083
5,5,4,28,6300,0,2.296532393,2.296532393,0.525903357,0.915448365,14.72529399,4,17,1.9
6,6,5,30,6750,2.499359846,3.088978529,0.589618683,2.712018951,0.16881087,81.36056852,5,15,2.712018951
7,7,6,31,6975,2.730533838,3.473195791,0.742661953,3.069679006,0.241945279,95.1600492,6,15,3.069679006
8,8,7,30,6750,2.369650602,2.992120028,0.622469425,2.623971279,0.165298265,78.71913838,7,15,2.623971279
9,9,8,27,6075,1.876213431,1.946317434,0.070104003,1.882540217,0.017967506,50.82858586,8,17,1.9
10,10,9,28,6300,1.876213431,1.999217033,0.123003602,1.902730925,0.028229569,53.27646589,9,17,1.902730925
11,11,10,31,6975,1.826767802,1.826767802,0,1.826767802,0,56.62980187,10,17,1.9
12,12,11,30,6750,1.826767802,2.352040052,0.52527225,2.032745012,0.159515662,60.98235035,11,17,2.032745012
13,13,12,31,6975,1.876213431,3.934967995,2.058754563,2.41944015,0.533061735,75.00264466,12,17,2.41944015
14,14,13,28,6300,2.395389318,4.008458614,1.613069296,3.198476911,0.451556823,89.5573535,13,15,3.198476911
15,15,14,25,5625,1.90025866,2.718138695,0.817880034,2.444970117,0.208882674,61.12425292,14,15,2.444970117
16,16,15,28,6300,1.655064106,2.419434786,0.76437068,1.87096405,0.229490118,52.38699341,15,15,1.9
17,17,16,30,6750,1.826767802,2.453978777,0.627210975,1.852054965,0.112504297,55.56164896,16,4,1.9
18,18,17,28,6300,1.826767802,1.89653337,0.069765568,1.832089743,0.015404185,51.29851282,17,17,1.9
19,19,18,30,6750,1.826767802,1.826767802,0,1.826767802,0,54.80303407,18,4,1.9
20,20,19,31,6975,2.210477352,3.854703903,1.644226551,3.045104911,0.636166118,94.39825225,19,4,3.045104911
21,21,20,26,5850,3.126638412,4.148666859,1.022028446,3.606120091,0.28284077,93.75912237,20,15,3.606120091
22,22,21,25,5625,3.098800182,3.666405201,0.567605019,3.274253769,0.176929337,81.85634422,21,15,3.274253769
23,23,22,29,6525,3.074754715,3.97459197,0.899837255,3.437139766,0.266351364,99.67705321,22,15,3.437139766
24,24,23,29,6525,2.02692008,2.411577463,0.384657383,2.278841257,0.136381355,66.08639646,23,4,2.278841257
25,25,24,26,5850,1.826767802,2.226056099,0.399288297,1.885070608,0.136933598,49.01183581,24,4,1.9
26,26,25,29,6525,1.826767802,2.151887894,0.325120091,1.865586038,0.098273886,54.10199511,25,4,1.9
27,27,26,29,6525,2.024888039,2.315802574,0.290914536,2.142195101,0.067078167,62.12365794,26,4,2.142195101
28,28,27,28,6300,2.411577463,2.411577463,0,2.411577463,0,67.52416897,27,4,2.411577463
29,29,28,27,6075,2.991002321,3.886199951,0.89519763,3.047855677,0.203988529,82.29210329,28,15,3.047855677
30,30,29,26,5850,3.422226667,3.873669386,0.451442719,3.561311887,0.162966646,92.59410906,29,15,3.561311887
31,31,30,30,6750,1.826767802,1.988989353,0.162221551,1.850643885,0.041952098,55.51931655,30,4,1.9
32,32,31,30,6750,1.826767802,1.826767802,0,1.826767802,0,54.80303407,31,4,1.9
33,33,32,27,6075,1.416845798,1.859957457,0.443111658,1.5300734,0.123078639,41.3119818,32,4,1.9
34,34,33,29,6525,1.763776064,2.193543911,0.429767847,2.02008827,0.112518448,58.58255982,33,4,2.02008827
35,35,34,26,5850,1.416845798,1.756833315,0.339987516,1.532772761,0.097942616,39.85209179,34,16,1.9
36,36,35,26,5850,1.416845798,1.419250488,0.00240469,1.416938287,0.00046244,36.84039545,35,4,1.9
37,37,36,25,5625,2.991002321,3.935272932,0.944270611,3.733118658,0.2297673,93.32796645,36,15,3.733118658
38,38,37,26,5850,2.989749432,3.613911867,0.624162436,3.158406716,0.23656619,82.11857462,37,15,3.158406716
39,39,38,25,5625,3.355848074,4.553373337,1.197525263,3.861298552,0.426972371,96.53246379,38,15,3.861298552
40,40,39,26,5850,1.399031997,1.4352355,0.036203504,1.401371406,0.008249973,36.43565655,39,16,1.9
41,41,40,25,5625,1.399031997,1.430731177,0.031699181,1.40114934,0.007331191,35.02873349,40,16,1.9
42,42,41,25,5625,1.605821729,1.714872479,0.109050751,1.627656298,0.034460867,40.69140744,41,16,1.9
43,43,42,25,5625,1.605821729,1.879329085,0.273507357,1.685256753,0.097017182,42.13141882,42,16,1.9
44,44,43,26,5850,1.399031997,1.788430929,0.389398932,1.549398697,0.134653397,40.28436613,43,16,1.9
45,45,44,25,5625,2.0692873,2.0692873,0,2.0692873,0,51.7321825,44,16,2.0692873
46,46,45,25,5625,2.0692873,2.0692873,0,2.0692873,0,51.7321825,45,16,2.0692873
47,47,46,27,6075,1.716735125,2.400130749,0.683395624,2.060079226,0.243516934,55.6221391,46,16,2.060079226
48,48,47,25,5625,0.347471952,2.433658838,2.086186886,2.199134741,0.403522875,54.97836852,47,16,2.199134741
49,49,48,23,5175,2.0692873,2.0692873,0,2.0692873,0,47.5936079,48,16,2.0692873
50,50,49,24,5400,0.347471952,2.599943876,2.252471924,0.859832287,0.891045486,20.63597488,49,16,1.9
51,51,50,25,5625,0.347471952,0.347471952,0,0.347471952,0,8.686798811,50,16,1.9
52,52,51,24,5400,3.10963726,5.063405514,1.953768253,3.960113943,0.580592199,95.04273462,51,13,3.960113943
53,53,52,24,5400,2.727959871,3.360250711,0.63229084,3.036570023,0.143124415,72.87768054,52,13,3.036570023
54,54,53,26,5850,2.165096045,3.081189156,0.916093111,2.533799813,0.19610587,65.87879515,53,13,2.533799813
55,55,54,31,6975,2.946061373,4.421970367,1.475908995,3.504123895,0.389779826,108.6278408,54,13,3.504123895
56,56,55,25,5625,2.803143978,4.390813351,1.587669373,3.67825593,0.662841673,91.95639825,55,15,3.67825593
57,57,56,26,5850,2.784856081,4.640410423,1.855554342,3.694996632,0.667021969,96.06991243,56,3,3.694996632
58,58,57,27,6075,3.086946726,4.385056019,1.298109293,3.842775398,0.274160765,103.7549357,57,3,3.842775398
59,59,58,30,6750,3.012439966,3.381247997,0.368808031,3.079868555,0.065546777,92.39605665,58,13,3.079868555
60,60,59,27,6075,2.198285341,2.487167835,0.288882494,2.304288008,0.099404284,62.21577621,59,13,2.304288008
61,61,60,28,6300,2.112941265,3.054773331,0.941832066,2.54661612,0.390633317,71.30525136,60,13,2.54661612
62,62,61,28,6300,3.00058651,4.275328159,1.27474165,3.766258776,0.486113201,105.4552457,61,3,3.766258776
63,63,62,27,6075,3.73921895,4.264829636,0.525610685,3.941350001,0.178687877,106.41645,62,3,3.941350001
64,64,63,24,5400,3.69519186,3.82828784,0.13309598,3.708775222,0.03107091,89.01060534,63,3,3.708775222
65,65,64,27,6075,2.317496061,2.886794806,0.569298744,2.719192266,0.111016814,73.41819119,64,1,2.719192266
66,66,65,29,6525,2.10887742,3.462528229,1.353650808,2.665295017,0.380131068,77.2935555,65,13,2.665295017
67,67,66,25,5625,3.026325464,4.063322544,1.03699708,3.58545043,0.30923521,89.63626075,66,3,3.58545043
68,68,67,25,5625,3.017520189,3.609373808,0.591853619,3.243025942,0.160213328,81.07564855,67,3,3.243025942
69,69,68,27,6075,2.192189217,2.659210682,0.467021465,2.333952612,0.150652827,63.01672053,68,1,2.333952612
70,70,69,28,6300,2.192189217,2.855637312,0.663448095,2.410967946,0.223562386,67.50710249,69,1,2.410967946
71,71,70,24,5400,2.87223196,3.593287468,0.721055508,3.397127271,0.244430079,81.5310545,70,3,3.397127271
72,72,71,25,5625,2.80619216,2.94944787,0.143255711,2.866393366,0.033197754,71.65983415,71,3,2.866393366
73,73,72,24,5400,2.80619216,3.785615921,0.979423761,3.014754305,0.327765348,72.35410333,72,3,3.014754305
74,74,73,25,5625,3.151632071,5.91007185,2.758439779,3.880454941,1.049031299,97.01137352,73,14,3.880454941
75,75,74,25,5625,2.287354469,3.151936769,0.8645823,2.984433594,0.28283199,74.61083984,74,14,2.984433594
76,76,75,26,5850,2.204381227,2.416386604,0.212005377,2.291978763,0.053135174,59.59144783,75,14,2.291978763
77,77,76,27,6075,2.802805424,3.018874645,0.216069221,2.892827952,0.061980923,78.10635471,76,1,2.892827952
78,78,77,26,5850,2.546773434,2.601298809,0.054525375,2.569959017,0.014871174,66.81893444,77,1,2.569959017
79,79,78,26,5850,2.532549381,2.947416067,0.414866686,2.623507463,0.125095343,68.21119404,78,1,2.623507463
80,80,79,25,5625,2.204381227,2.582672119,0.378290892,2.349195213,0.09567557,58.72988033,79,14,2.349195213
81,81,80,29,6525,0.51445049,2.645663977,2.131213486,1.636071851,0.83370186,47.44608366,80,14,1.9
82,82,81,25,5625,2.4793787,2.64397049,0.164591789,2.529149132,0.038844514,63.22872829,81,1,2.529149132
83,83,82,26,5850,2.345943928,2.996861458,0.65091753,2.533174579,0.143268652,65.86253905,82,1,2.533174579
84,84,83,26,5850,0.51445049,3.034792185,2.520341694,2.023549435,0.756691543,52.61228532,83,14,2.023549435
85,85,84,26,5850,0.51445049,3.095413446,2.580962956,2.00867597,1.018571902,52.22557521,84,14,2.00867597
86,86,85,25,5625,2.218944073,2.705607891,0.486663818,2.382411661,0.142854888,59.56029153,85,14,2.382411661
87,87,86,25,5625,2.577253342,2.880359888,0.303106546,2.708059931,0.087867874,67.70149827,86,12,2.708059931
88,88,87,26,5850,2.4793787,2.82380271,0.344424009,2.589536529,0.097589564,67.32794976,87,12,2.589536529
89,89,88,25,5625,2.235200167,2.733040094,0.497839928,2.396053133,0.123764159,59.90132833,88,0,2.396053133
90,90,89,25,5625,2.218944073,2.623989344,0.405045271,2.26826746,0.109265451,56.7066865,89,0,2.26826746
91,91,90,25,5625,2.194560051,2.533903837,0.339343786,2.38750515,0.111344872,59.68762875,90,12,2.38750515
92,92,91,26,5850,2.194560051,2.897293568,0.702733517,2.458941432,0.27352471,63.93247724,91,12,2.458941432
93,93,92,25,5625,2.218944073,2.330026627,0.111082554,2.240320683,0.034875779,56.00801706,92,0,2.240320683
94,94,93,25,5625,2.263986588,2.97281599,0.708829403,2.512960844,0.185924544,62.8240211,93,0,2.512960844
95,95,94,26,5850,1.838519812,3.204463959,1.365944147,2.429930705,0.317832588,63.17819834,94,0,2.429930705
96,96,95,25,5625,1.890369654,2.348653316,0.458283663,2.039274559,0.125186534,50.98186398,95,12,2.039274559
97,97,96,25,5625,1.902968049,2.599266529,0.69629848,2.151481609,0.1893727,53.78704023,96,12,2.151481609
98,98,97,24,5400,2.336596727,2.336596727,0,2.336596727,0,56.07832146,97,0,2.336596727
99,99,98,23,5175,2.263986588,2.615184069,0.351197481,2.40733099,0.128055967,55.36861277,98,0,2.40733099
100,100,99,23,5175,2.263986588,2.354410648,0.090424061,2.282628008,0.031279948,52.50044417,99,0,2.282628008
101,101,100,26,5850,2.263986588,2.494618654,0.230632067,2.318967828,0.048392448,60.29316354,100,0,2.318967828
