ID,div18
1,17
2,17
3,17
4,17
5,15
6,15
7,15
8,17
9,17
10,17
11,17
12,17
14,15
15,15
16,4
17,17
18,4
19,4
23,4
24,4
25,4
26,4
27,4
30,4
31,4
32,4
33,4
34,16
35,4
39,16
40,16
41,16
42,16
43,16
44,16
45,16
46,16
47,16
48,16
49,16
50,16
51,13
52,13
53,13
54,13
58,13
59,13
60,13
64,1
65,13
68,1
69,1
76,1
77,1
78,1
81,1
82,1
86,12
87,12
90,12
91,12
95,12
96,12
101,5
102,5
103,12
109,5
110,5
113,5
114,5
115,5
119,11
120,5
